INFO     | 2021-01-14 06:00:53,108 | progress   |       Finished subset 28/33, 84.85 percent done
INFO     | 2021-01-14 06:00:58,809 | progress   |       Finished subset 29/33, 87.88 percent done
INFO     | 2021-01-14 06:01:03,449 | progress   |       Finished subset 30/33, 90.91 percent done
INFO     | 2021-01-14 06:01:07,102 | progress   |       Finished subset 31/33, 93.94 percent done
INFO     | 2021-01-14 06:01:12,857 | progress   |       Finished subset 32/33, 96.97 percent done
INFO     | 2021-01-14 06:01:14,886 | progress   |       Finished subset 33/33, 100.00 percent done
INFO     | 2021-01-14 06:01:14,903 | analysis_m |    ***Greedy algorithm step 1***
INFO     | 2021-01-14 06:01:14,951 | analysis_m |       Analysing 528 new subset pairs
INFO     | 2021-01-14 06:02:00,184 | progress   |       Finished subset 1/528, 0.19 percent done
INFO     | 2021-01-14 06:02:20,757 | progress   |       Finished subset 2/528, 0.38 percent done
INFO     | 2021-01-14 06:03:03,834 | progress   |       Finished subset 3/528, 0.57 percent done
INFO     | 2021-01-14 06:03:50,742 | progress   |       Finished subset 4/528, 0.76 percent done
INFO     | 2021-01-14 06:04:22,707 | progress   |       Finished subset 5/528, 0.95 percent done
INFO     | 2021-01-14 06:05:04,353 | progress   |       Finished subset 6/528, 1.14 percent done
INFO     | 2021-01-14 06:05:19,975 | progress   |       Finished subset 7/528, 1.33 percent done
INFO     | 2021-01-14 06:06:06,006 | progress   |       Finished subset 8/528, 1.52 percent done
INFO     | 2021-01-14 06:06:18,800 | progress   |       Finished subset 9/528, 1.70 percent done
INFO     | 2021-01-14 06:07:22,826 | progress   |       Finished subset 10/528, 1.89 percent done
INFO     | 2021-01-14 06:08:16,840 | progress   |       Finished subset 11/528, 2.08 percent done
INFO     | 2021-01-14 06:09:00,999 | progress   |       Finished subset 12/528, 2.27 percent done
INFO     | 2021-01-14 06:09:20,231 | progress   |       Finished subset 13/528, 2.46 percent done
INFO     | 2021-01-14 06:10:16,566 | progress   |       Finished subset 14/528, 2.65 percent done
INFO     | 2021-01-14 06:11:03,102 | progress   |       Finished subset 15/528, 2.84 percent done
INFO     | 2021-01-14 06:11:44,170 | progress   |       Finished subset 16/528, 3.03 percent done
INFO     | 2021-01-14 06:12:05,637 | progress   |       Finished subset 17/528, 3.22 percent done
INFO     | 2021-01-14 06:12:56,957 | progress   |       Finished subset 18/528, 3.41 percent done
INFO     | 2021-01-14 06:13:08,925 | progress   |       Finished subset 19/528, 3.60 percent done
INFO     | 2021-01-14 06:13:55,363 | progress   |       Finished subset 20/528, 3.79 percent done
INFO     | 2021-01-14 06:13:59,371 | progress   |       Finished subset 21/528, 3.98 percent done
INFO     | 2021-01-14 06:14:16,370 | progress   |       Finished subset 22/528, 4.17 percent done
INFO     | 2021-01-14 06:15:00,371 | progress   |       Finished subset 23/528, 4.36 percent done
INFO     | 2021-01-14 06:15:16,111 | progress   |       Finished subset 24/528, 4.55 percent done
INFO     | 2021-01-14 06:16:05,021 | progress   |       Finished subset 25/528, 4.73 percent done
