Iteration	Posterior	Likelihood	Prior	extirpation_rate	log10_rate_bg	rate_bg
8100	-203.1446	-199.5929	-3.551699	1.956838	-0.6651133	0.2162154
8200	-202.536	-199.1109	-3.425149	1.897702	-0.485366	0.3270649
8300	-202.1037	-199.2582	-2.845481	1.626156	-0.5425759	0.2866976
8400	-202.2762	-199.242	-3.034231	1.714926	-0.4825998	0.3291548
8500	-202.6385	-198.9291	-3.709479	2.030684	-0.5570898	0.2772747
8600	-202.2655	-199.2582	-3.007278	1.702284	-0.4812389	0.3301878
8700	-202.3986	-200.5328	-1.865746	1.135221	-0.5999774	0.2512017
8800	-202.3533	-199.0715	-3.2818	1.830745	-0.5600536	0.2753889
8900	-202.6434	-201.1286	-1.5148	0.9060402	-0.5031858	0.3139165
9000	-203.638	-198.8973	-4.740627	2.521161	-0.5205469	0.3016151
9100	-202.637	-199.9237	-2.713284	1.563534	-0.64807	0.2248692
9200	-203.0088	-201.5596	-1.449149	0.8467436	-0.5742247	0.2665479
9300	-207.0886	-201.4867	-5.601896	2.947594	-0.3363911	0.4609024
9400	-202.5438	-198.9478	-3.595926	1.977522	-0.5402706	0.2882235
9500	-202.6065	-201.0447	-1.561841	0.9427393	-0.5579412	0.2767316
9600	-202.0416	-199.8377	-2.203837	1.314885	-0.5575767	0.276964
9700	-202.5384	-199.1658	-3.372625	1.873169	-0.5975559	0.2526062
9800	-202.0857	-199.8688	-2.216844	1.321467	-0.570115	0.2690822
9900	-201.9954	-199.6523	-2.34305	1.384507	-0.4901657	0.3234702
10000	-202.6687	-199.4749	-3.193774	1.78961	-0.6324826	0.2330866
10100	-202.0903	-199.6638	-2.42645	1.425479	-0.4645554	0.3431189
10200	-202.917	-200.4131	-2.503885	1.463131	-0.3690284	0.4275349
10300	-202.9227	-199.0156	-3.90706	2.123458	-0.603156	0.2493699
10400	-202.8541	-200.4478	-2.406297	1.415622	-0.370729	0.4258641
10500	-206.5767	-202.4921	-4.084575	2.207198	-0.8565979	0.139124
10600	-207.3064	-200.9245	-6.381873	3.351018	-0.3866635	0.4105221
10700	-205.2938	-203.8187	-1.475146	0.5418529	-0.6729337	0.2123569
10800	-202.9304	-200.6897	-2.240654	1.333471	-0.3604598	0.436054
10900	-202.3332	-199.0844	-3.248799	1.815327	-0.5597072	0.2756086
11000	-202.1052	-199.9694	-2.135791	1.280147	-0.4576726	0.3486
11100	-204.4252	-203.0478	-1.377337	0.750005	-0.7177323	0.1915436
11200	-203.192	-200.694	-2.497939	1.460252	-0.3481736	0.448566
11300	-206.1099	-199.5144	-6.595446	3.464664	-0.6967093	0.2010438
11400	-203.2186	-201.1302	-2.088425	1.255627	-0.6986416	0.2001513
11500	-203.4058	-199.491	-3.91477	2.127086	-0.4281217	0.3731456
11600	-204.9323	-203.2357	-1.696616	1.034565	-0.2447024	0.5692428
11700	-205.3688	-203.7166	-1.652191	1.005875	-0.2259102	0.5944151
11800	-201.9714	-199.5781	-2.393253	1.409228	-0.5119271	0.3076613
11900	-204.5165	-198.8864	-5.630011	2.961835	-0.5796732	0.2632248
12000	-203.764	-199.4309	-4.333113	2.325224	-0.6745548	0.2115657
12100	-202.5577	-200.9737	-1.58397	0.9589463	-0.5576999	0.2768854
12200	-203.3912	-201.394	-1.997229	1.207479	-0.7095201	0.1952
12300	-204.0029	-201.6347	-2.368205	1.396916	-0.2942014	0.5079238
12400	-201.9727	-199.6739	-2.298795	1.362559	-0.5296406	0.2953652
12500	-202.6302	-200.9859	-1.644267	1.000621	-0.4213224	0.3790335
